Pokemon Name,Number ,Card Type ,# in Machine,Estimated Value ,Is Chase Card? ,Is top 10 chase card? ,Is classic Pokemon? ,Is Full Art?  ,
Lillie's Determination,169,Alternative Full Art,1,$20.60,TRUE,TRUE,FALSE,TRUE,
Mega Charizard X ex (promo),023,Alternative Full Art,9,$32.02,TRUE,TRUE,TRUE,TRUE,
Mega Abomasnow Ex,157,Full Art ,2,$1.97,FALSE,FALSE,FALSE,TRUE,
Mega Absol Ex,086,Full Art ,2,$0.78,FALSE,FALSE,FALSE,TRUE,
Mega Lucario Ex,077,Full Art ,2,$1.04,FALSE,FALSE,FALSE,TRUE,
Mega Manectric Ex,050,Full Art ,2,$0.05,FALSE,FALSE,FALSE,TRUE,
Mega Venusaur Ex,003,Full Art ,1,$0.85,FALSE,FALSE,TRUE,TRUE,
Alakazam,056,Holo,2,,TRUE,FALSE,TRUE,FALSE,
Cinderace,028,Holo,1,,FALSE,FALSE,FALSE,FALSE,
Clawitzer,038,Holo,1,,FALSE,FALSE,FALSE,FALSE,
Dialga,095,Holo,3,,FALSE,FALSE,FALSE,FALSE,
Fighting Gong,116,Holo,1,,FALSE,FALSE,FALSE,FALSE,
Hariyama,073,Holo,1,,FALSE,FALSE,FALSE,FALSE,
Kyogre,034,Holo,4,,FALSE,FALSE,FALSE,FALSE,
Lunatone,074,Holo,3,,FALSE,FALSE,FALSE,FALSE,
Meganium,010,Holo,1,,FALSE,FALSE,FALSE,FALSE,
Raikou,048,Holo,1,,FALSE,FALSE,FALSE,FALSE,
Steelix,093,Holo,2,,FALSE,FALSE,TRUE,FALSE,
Xerneas,064,Holo,3,,FALSE,FALSE,FALSE,FALSE,
Yungoos,109,Holo,1,,FALSE,FALSE,FALSE,FALSE,
Yveltal,088,Holo,3,,FALSE,FALSE,FALSE,FALSE,
Alakazam,056,Reverse Holo ,3,,FALSE,FALSE,TRUE,FALSE,
Bayleef,009,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Boss's Orders,114,Reverse Holo ,3,,FALSE,FALSE,FALSE,FALSE,
Bulbasaur,001,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Buneary,107,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Chikorita,008,Reverse Holo ,3,,FALSE,FALSE,FALSE,FALSE,
Cinderace,028,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Delibird,105,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Dhelmise,018,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Dialga,095,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE, 
Drizzile,040,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Eiscue,044,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Electrike,049,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Energy Switch,115,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Exeggcute,004,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Exeggutor,005,Reverse Holo ,2,,FALSE,FALSE,TRUE,FALSE,
Fighting Gong,116,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Forest of Vitality,117,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Garganacl,084,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Gholdengo,099,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Greavard,065,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Grumpig,063,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Gumshoos,110,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Heliolisk,053,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Helioptile,052,Reverse Holo ,2,,FALSE,FALSE,FALSE,FALSE,
Houndstone,066,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Iron Defender,118,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Jynx,057,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Kirlia,059,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Litleo,023,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Lopunny,108,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Lt. Surge's Bargain,120,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Lunatone,074,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
Magnemite,045,Reverse Holo ,1,,FALSE,FALSE,TRUE,FALSE,
Magneton,046,Reverse Holo ,1,,FALSE,FALSE,TRUE,FALSE,
Magnezone,047,Reverse Holo ,1,,FALSE,FALSE,FALSE,FALSE,
