Pokemon Name,Number ,Card Type ,# in Machine,Estimated Value ,Is Chase Card? ,Is top 10 chase card? ,Is classic Pokemon? ,Is Full Art?  ,
Rellor,024,Reverse Holo ,1,$11,FALSE,FALSE,FALSE,FALSE, 
Zamazenta,201,Secret Art,1,$3.58,TRUE,FALSE,FALSE,TRUE,
Crustle,186,Secret Art,2,$2.91,TRUE,FALSE,FALSE,TRUE,
Arboliva Ex,207,Alternative Full Art,1,$2.49,TRUE,FALSE,FALSE,TRUE,
Clamperl,195,Secret Art,1,$2.46,TRUE,FALSE,FALSE,TRUE,
Ethan's Typhlosion,034,Holo,2,$0.60,FALSE,FALSE,FALSE,FALSE,
Ethan's Typhlosion,034,Reverse Holo ,3,$0.60,FALSE,FALSE,FALSE,FALSE,
Electivire Ex,069,Full Art ,1,$0.58,FALSE,FALSE,FALSE,TRUE,
Regirock Ex,101,Full Art ,1,$0.57,FALSE,FALSE,FALSE,TRUE,
Arboliva Ex,023,Full Art ,1,$0.50,FALSE,FALSE,FALSE,TRUE,
Arven's Mabosstiff Ex,139,Full Art ,2,$0.46,FALSE,FALSE,FALSE,TRUE,
Cynthia's Gible,102,Reverse Holo ,1,$0.45,FALSE,FALSE,FALSE,FALSE,
Hydrapple,018,Holo,2,$0.42,FALSE,FALSE,FALSE,FALSE,
Cynthia's Roserade,008,Holo,3,$0.35,FALSE,FALSE,FALSE,FALSE,
Cynthia's Roserade,008,Reverse Holo ,1,$0.35,FALSE,FALSE,FALSE,FALSE,
Team Rocket's Spidops,020,Holo,3,$0.30,FALSE,FALSE,FALSE,FALSE,
Team Rocket's Spidops,020,Reverse Holo ,1,$0.30,FALSE,FALSE,FALSE,FALSE,
Team Rocket's Wobbuffet,082,Holo,2,$0.29,FALSE,FALSE,FALSE,FALSE,
Team Rocket's Wobbuffet,082,Reverse Holo ,1,$0.29,FALSE,FALSE,FALSE,FALSE,
Blaziken,042,Holo,2,$0.28,FALSE,FALSE,FALSE,FALSE,
Team Rocket's Sneasel,128,Holo,1,$0.28,FALSE,FALSE,FALSE,FALSE,
Hearthflame Mask Ogerpon,044,Reverse Holo ,2,$0.27,FALSE,FALSE,FALSE,FALSE,
Team Rocket's Houndoom,038,Reverse Holo ,1,$0.26,FALSE,FALSE,FALSE,FALSE,
Ethan's Magcargo,036,Holo,1,$0.25,FALSE,FALSE,FALSE,FALSE,
Ethan's Magcargo,036,Reverse Holo ,1,$0.25,FALSE,FALSE,FALSE,FALSE,
Zamazenta,146,Holo,1,$0.25,FALSE,FALSE,FALSE,FALSE,
Zamazenta,146,Reverse Holo ,1,$0.25,FALSE,FALSE,FALSE,FALSE,
Crustle,012,Holo,1,$0.24,FALSE,FALSE,FALSE,FALSE,
Cynthia's Feebas,052,Reverse Holo ,2,$0.24,FALSE,FALSE,FALSE,FALSE,
Steven's Claydol,084,Reverse Holo ,2,$0.24,FALSE,FALSE,FALSE,FALSE,
Zeraora,078,Holo,1,$0.23,FALSE,FALSE,FALSE,FALSE,
Zeraora,078,Reverse Holo ,1,$0.23,FALSE,FALSE,FALSE,FALSE,
Arven's Greedent,159,Holo,1,$0.22,FALSE,FALSE,FALSE,FALSE,
Ethan's Quilava,033,Reverse Holo ,1,$0.22,FALSE,FALSE,FALSE,FALSE,
Gorebyss,056,Holo,1,$0.22,FALSE,FALSE,FALSE,FALSE,
Marnie's Scrafty,133,Reverse Holo ,1,$0.22,FALSE,FALSE,FALSE,FALSE,
Dwebble,011,Reverse Holo ,1,$0.21,FALSE,FALSE,FALSE,FALSE,
Ethan's Pinsir,001,Reverse Holo ,1,$0.20,FALSE,FALSE,FALSE,FALSE,
Ethan's Sudowoodo,093,Reverse Holo ,1,$0.17,FALSE,FALSE,FALSE,FALSE,
Rotom,077,Reverse Holo ,2,$0.17,FALSE,FALSE,FALSE,FALSE,
Combusken,041,Reverse Holo ,1,$0.16,FALSE,FALSE,FALSE,FALSE,
Dolliv,022,Reverse Holo ,1,$0.16,FALSE,FALSE,FALSE,FALSE,
Applin,016,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE,
Cetoddle,064,Reverse Holo ,1,$0.15,FALSE,FALSE,FALSE,FALSE,
