Pokemon Name,Number ,Card Type ,# in Machine,Estimated Value ,Is Chase Card? ,Is top 10 chase card? ,Is classic Pokemon? ,Is Full Art?  
Lillie's Clefairy ex,184,Alternative Full Art,1,$139.85,TRUE,TRUE,TRUE,TRUE
Articuno,161,Secret Art,1,$17.14,TRUE,FALSE,TRUE,TRUE
N's Zoroark,189,Gold,1,$14.82,TRUE,FALSE,FALSE,TRUE
Wailord,162,Secret Art,1,$13.18,TRUE,FALSE,FALSE,TRUE
Furret,168,Secret Art,1,$4.84,FALSE,FALSE,FALSE,TRUE
Iono's Bellibolt Ex,172,Alternative Full Art,2,$2.49,FALSE,FALSE,FALSE,TRUE
N's Zoroark,098,Full Art ,1,$2.92,FALSE,FALSE,FALSE,TRUE
Lillie's Clefairy Ex,056,Full Art ,1,$1.02,FALSE,FALSE,TRUE,TRUE
Volcanion Ex ,171,Full Art ,2,$0.90,FALSE,FALSE,FALSE,TRUE
Volcanion Ex ,031,Alternative Full Art,2,$1.09,FALSE,FALSE,FALSE,TRUE
Paldean Clodsire Ex,094,Full Art ,1,$0.44,FALSE,FALSE,FALSE,TRUE
Iono's Bellibolt Ex,053,Full Art ,2,$0.62,FALSE,FALSE,FALSE,TRUE
Tyranitar,095,Reverse Holo ,1,$0.62,FALSE,FALSE,FALSE,FALSE
Alcremie Ex,075,Full Art ,1,$0.60,FALSE,FALSE,FALSE,TRUE
N's Reshiram,116,Holo,1,$0.53,FALSE,FALSE,FALSE,FALSE
Tapu Koko Ex,051,Full Art ,1,$0.51,FALSE,FALSE,FALSE,TRUE
Hop's Snorlax,117,Holo,3,$0.40,FALSE,FALSE,TRUE,FALSE
Lycanroc,085,Holo,1,$0.39,FALSE,FALSE,FALSE,FALSE
Lycanroc,085,Reverse Holo ,1,$0.39,FALSE,FALSE,FALSE,FALSE
Meowscarada,018,Holo,4,$0.38,FALSE,FALSE,FALSE,FALSE
Meowscarada,018,Reverse Holo ,1,$0.38,FALSE,FALSE,FALSE,FALSE
Lillie's Ribombee,067,Reverse Holo ,1,$0.33,FALSE,FALSE,FALSE,FALSE
Cinccino,126,Reverse Holo ,1,$0.32,FALSE,FALSE,FALSE,FALSE
Noivern,128,Holo,1,$0.32,FALSE,FALSE,FALSE,FALSE
Regirock,082,Holo,3,$0.32,FALSE,FALSE,FALSE,FALSE
Alolan Golem,046,Reverse Holo ,1,$0.30,FALSE,FALSE,TRUE,FALSE
Iono's Kilowattrel,055,Holo,4,$0.30,FALSE,FALSE,FALSE,FALSE
