Pokemon Name,Number,Card Type,# in Machine,Estimated Value,Is Chase Card?,Is top 10 chase card?,Is classic Pokemon?,Is Full Art?,Unnamed: 9
Absol,063,Reverse Holo ,60,$0.15,False,False,False,False,
Aipom,078,Reverse Holo ,60,$0.11,False,False,False,False,
Alcremie,044,Holo,60,$0.12,False,False,False,False,
Ambipom,107,Secret Art,40,$1.68,False,False,False,True,
Ambipom,079,Holo,60,$0.13,False,False,False,False,
Ambipom,079,Reverse Holo ,60,$0.13,False,False,False,False,
Archaludon,075,Reverse Holo ,60,$0.13,False,False,False,False,
Boltund,031,Reverse Holo ,60,$0.11,False,False,False,False, 
Bramblin,046,Reverse Holo ,60,$0.10,False,False,False,False,
Bronzong,072,Reverse Holo ,60,$0.11,False,False,False,False,
Carvanha,060,Reverse Holo ,60,$0.16,False,False,False,False,
Ceruledge,020,Reverse Holo ,60,$0.15,False,False,False,False,
Charcadet,019,Reverse Holo ,60,$0.16,False,False,False,False,
Cresselia,039,Reverse Holo ,60,$0.13,False,False,False,False,
Darmanitan,016,Reverse Holo ,60,$0.15,False,False,False,False,
Dawn,118,Full Art ,10,$9.13,True,False,False,True,
Dewgong,022,Reverse Holo ,60,$0.13,False,False,False,False,
Dewgong ,097,Secret Art,10,$4.19,True,False,True,True,
Flygon,053,Holo,60,$0.23,False,False,False,False,
Flygon,053,Reverse Holo ,60,$0.23,False,False,False,False,
Genesect,008,Holo,60,$0.14,False,False,False,False,
Genesect,008,Reverse Holo ,60,$0.14,False,False,False,False,
Granbull,038,Reverse Holo ,60,$0.09,False,False,False,False,
Haunter,055,Reverse Holo ,60,$0.50,False,False,True,False,
Honchkrow,058,Reverse Holo ,60,$0.12,False,False,False,False,
Jigglypuff,076,Reverse Holo ,60,$0.14,False,False,True,False,
Krokorok,065,Reverse Holo ,60,$0.15,False,False,False,False,
Krookodile,066,Reverse Holo ,60,$0.13,False,False,False,False,
Linoone,082,Reverse Holo ,60,$0.10,False,False,False,False,
Lokix,010,Reverse Holo ,60,$0.14,False,False,False,False,
Lotad,005,Reverse Holo ,60,$0.14,False,False,False,False,
Ludicolo,007,Reverse Holo ,60,$0.10,False,False,False,False,
Mega Charizard X ex,130,Gold,1,$374.71,True,True,True,True,
Mega Charizard X Ex,109,Full Art ,5,$35.77,True,True,True,True,
Mega Lopunny Ex ,084,Full Art ,60,$0.64,False,False,False,True,
Mega Sharpedo,061,Full Art ,60,$0.59,False,False,False,True,
Meloetta,040,Reverse Holo ,60,$0.23,False,False,False,False,
Meowth,106,Secret Art,5,$16.29,True,True,True,True,
Milcery,043,Reverse Holo ,60,$0.12,False,False,False,False,
Mismagius Ex,036,Full Art ,60,$0.56,False,False,False,True,
Moltres,014,Holo,60,$0.21,False,False,False,False,
Murkrow,057,Reverse Holo ,60,$0.14,False,False,False,False,
Nymble,096,Secret Art,40,$1.30,False,False,False,True,
Nymble,096,Reverse Holo ,60,$0.14,False,False,False,False,
Oddish,001,Reverse Holo ,60,$0.11,False,False,True,False,
Oricorio Ex,018,Full Art ,60,$0.43,False,False,False,True,
Paldean Tauros,048,Reverse Holo ,60,$0.11,False,False,False,False,
Pawmi,032,Reverse Holo ,60,$0.14,False,False,False,False,
Pawmot,034,Holo,60,$0.11,False,False,False,False,
Piloswine,024,Reverse Holo ,60,$0.12,False,False,False,False,
Piplup,098,Secret Art,5,$12.45,True,True,False,True,
Piplup,027,Reverse Holo ,60,$0.11,False,False,False,False,
Prinplup,028,Reverse Holo ,60,$0.11,False,False,False,False,
Punk Helmet,121,Full Art ,60,$0.97,False,False,False,True,
Reshiram,017,Holo,60,$0.15,False,False,False,False,
Rotom Ex,029,Full Art ,60,$0.46,False,False,False,True,
Sableye,059,Reverse Holo ,60,$0.12,False,False,False,False,
Seel,021,Reverse Holo ,60,$0.12,False,False,True,False,
Seviper,062,Reverse Holo ,60,$0.11,False,False,False,False,
Smeargle,080,Reverse Holo ,60,$0.15,False,False,False,False,
Snubbull,037,Reverse Holo ,60,$0.24,False,False,False,False,
Suicune,026,Holo,60,$0.12,False,False,False,False,
Suicune,026,Reverse Holo ,60,$0.12,False,False,False,False,
Swinub,023,Reverse Holo ,60,$0.12,False,False,False,False,
Toxel,067,Reverse Holo ,60,$0.18,False,False,False,False,
Toxtricity,068,Holo,60,$0.15,False,False,False,False,
Trapinch,051,Reverse Holo ,60,$0.12,False,False,False,False,
Vileplume,003,Holo,60,$0.16,False,False,False,False,
Wigglytuff,105,Secret Art,10,$6.00,True,False,True,True,
Wigglytuff,077,Reverse Holo ,60,$0.16,False,False,True,False,
Yamper,099,Secret Art,10,$2.17,True,False,False,True,
Zacian,045,Reverse Holo ,60,$0.16,False,False,False,False,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,Total Classic Pokemon: ,16,60,,,,,,
