Pokemon Name,Number,Card Type,# in Machine,Estimated Value,Is Chase Card?,Is top 10 chase card?,Is classic Pokemon?,Is Full Art?,Unnamed: 9
Rellor,024,Reverse Holo ,20,$11,False,False,False,False, 
Zamazenta,201,Secret Art,10,$3.58,True,False,False,True,
Crustle,186,Secret Art,10,$2.91,True,False,False,True,
Arboliva Ex,207,Alternative Full Art,10,$2.49,True,False,False,True,
Clamperl,195,Secret Art,10,$2.46,True,False,False,True,
Ethan's Typhlosion,034,Holo,60,$0.60,False,False,False,False,
Ethan's Typhlosion,034,Reverse Holo ,60,$0.60,False,False,False,False,
Electivire Ex,069,Full Art ,60,$0.58,False,False,False,True,
Regirock Ex,101,Full Art ,60,$0.57,False,False,False,True,
Arboliva Ex,023,Full Art ,60,$0.50,False,False,False,True,
Arven's Mabosstiff Ex,139,Full Art ,60,$0.46,False,False,False,True,
Cynthia's Gible,102,Reverse Holo ,60,$0.45,False,False,False,False,
Hydrapple,018,Holo,60,$0.42,False,False,False,False,
Cynthia's Roserade,008,Holo,60,$0.35,False,False,False,False,
Cynthia's Roserade,008,Reverse Holo ,60,$0.35,False,False,False,False,
Team Rocket's Spidops,020,Holo,60,$0.30,False,False,False,False,
Team Rocket's Spidops,020,Reverse Holo ,60,$0.30,False,False,False,False,
Team Rocket's Wobbuffet,082,Holo,60,$0.29,False,False,False,False,
Team Rocket's Wobbuffet,082,Reverse Holo ,60,$0.29,False,False,False,False,
Blaziken,042,Holo,60,$0.28,False,False,False,False,
Team Rocket's Sneasel,128,Holo,60,$0.28,False,False,False,False,
Hearthflame Mask Ogerpon,044,Reverse Holo ,60,$0.27,False,False,False,False,
Team Rocket's Houndoom,038,Reverse Holo ,60,$0.26,False,False,False,False,
Ethan's Magcargo,036,Holo,60,$0.25,False,False,False,False,
Ethan's Magcargo,036,Reverse Holo ,60,$0.25,False,False,False,False,
Zamazenta,146,Holo,60,$0.25,False,False,False,False,
Zamazenta,146,Reverse Holo ,60,$0.25,False,False,False,False,
Crustle,012,Holo,60,$0.24,False,False,False,False,
Cynthia's Feebas,052,Reverse Holo ,60,$0.24,False,False,False,False,
Steven's Claydol,084,Reverse Holo ,60,$0.24,False,False,False,False,
Zeraora,078,Holo,60,$0.23,False,False,False,False,
Zeraora,078,Reverse Holo ,60,$0.23,False,False,False,False,
Arven's Greedent,159,Holo,60,$0.22,False,False,False,False,
Ethan's Quilava,033,Reverse Holo ,60,$0.22,False,False,False,False,
Gorebyss,056,Holo,60,$0.22,False,False,False,False,
Marnie's Scrafty,133,Reverse Holo ,60,$0.22,False,False,False,False,
Dwebble,011,Reverse Holo ,60,$0.21,False,False,False,False,
Ethan's Pinsir,001,Reverse Holo ,60,$0.20,False,False,False,False,
Ethan's Sudowoodo,093,Reverse Holo ,60,$0.17,False,False,False,False,
Rotom,077,Reverse Holo ,60,$0.17,False,False,False,False,
Combusken,041,Reverse Holo ,60,$0.16,False,False,False,False,
Dolliv,022,Reverse Holo ,60,$0.16,False,False,False,False,
Applin,016,Reverse Holo ,60,$0.15,False,False,False,False,
Cetoddle,064,Reverse Holo ,60,$0.15,False,False,False,False,
Steven's Beldum,143,Reverse Holo ,60,$0.15,False,False,False,False,
Team Rocket's Blipbug,015,Reverse Holo ,60,$0.15,False,False,False,False,
Ethan's Cyndaquil,032,Reverse Holo ,60,$0.14,False,False,False,False,
Mow Rotom,009,Reverse Holo ,60,$0.14,False,False,False,False,
Mudbray,107,Reverse Holo ,60,$0.14,False,False,False,False,
Team Rocket's Houndour,037,Reverse Holo ,60,$0.14,False,False,False,False,
Clamperl,054,Reverse Holo ,60,$0.13,False,False,False,False,
Electrike,075,Reverse Holo ,60,$0.13,False,False,False,False,
Pineco,004,Reverse Holo ,60,$0.13,False,False,False,False,
Squawkabilly,160,Reverse Holo ,60,$0.13,False,False,False,False,
Team Rocket's Flaaffy,073,Reverse Holo ,60,$0.13,False,False,False,False,
Team Rocket's Larvitar,094,Reverse Holo ,60,$0.13,False,False,False,False,
Meditite,099,Reverse Holo ,60,$0.12,False,False,False,False,
Skarmory,141,Reverse Holo ,60,$0.12,False,False,False,False,
Arven's Skwovet,158,Reverse Holo ,60,$0.11,False,False,False,False,
Team Rocket's Mewtwo Ex,240,Gold,1,$50.31,True,True,True,True,
Misty's Lapras,184,Secret Art,1,$36.68,True,True,True,True,
Team Rocket's Crobat ex,242,Gold,5,$20.85,True,True,True,True,
Team Rocket's Meowth,203,Secret Art,5,$19.49,True,True,True,True,
Team Rocket's Weezing,199,Secret Art,10,$6.59,True,False,True,True,
Rapidash ,189,Alternative Full Art,5,$5.59,True,True,True,True,
Team Rocket's Moltres Ex,208,Alternative Full Art,10,$5.31,True,False,True,True,
Team Rocket's Mewtwo Ex,081,Full Art ,40,$1.38,False,False,True,True,
Team Rocket's Moltres Ex,031,Full Art ,60,$0.78,False,False,True,True,
Team Rocket's Persian Ex,150,Full Art ,60,$0.74,False,False,True,True,
Team Rocket's Nidoking Ex,119,Full Art ,60,$0.61,False,False,True,True,
Misty's Magikarp ,048,Reverse Holo ,60,$0.31,False,False,True,False,
Team Rocket's Nidorino,118,Reverse Holo ,60,$0.29,False,False,True,False,
Team Rocket's Zapdos,070,Holo,60,$0.29,False,False,True,False,
Arcanine,028,Reverse Holo ,60,$0.27,False,False,True,False,
Team Rocket's Articuno,051,Holo,60,$0.26,False,False,True,False,
Team Rocket's Articuno,051,Reverse Holo ,60,$0.26,False,False,True,False,
Team Rocket's Nidorina,115,Reverse Holo ,60,$0.26,False,False,True,False,
Misty's Starmie,047,Reverse Holo ,60,$0.25,False,False,True,False,
Annihilape,092,Holo,60,$0.21,False,False,True,False,
Annihilape,092,Reverse Holo ,60,$0.21,False,False,True,False,
Kangaskhan,151,Reverse Holo ,60,$0.20,False,False,True,False,
Team Rocket's Ekans,112,Holo,60,$0.18,False,False,True,False,
Team Rocket's Ekans,112,Reverse Holo ,60,$0.18,False,False,True,False,
Ponyta,029,Reverse Holo ,60,$0.16,False,False,True,False,
Team Rocket's Raticate,148,Reverse Holo ,60,$0.16,False,False,True,False,
Tauros,152,Reverse Holo ,60,$0.14,False,False,True,False,
Electabuzz,068,Reverse Holo ,60,$0.12,False,False,True,False,
Mankey,090,Reverse Holo ,60,$0.12,False,False,True,False,
Primeape,091,Reverse Holo ,60,$0.12,False,False,True,False,
Misty's Psyduck,193,Secret Art,5,$46.63,True,True,True,True,
Kangaskhan,204,Secret Art,5,$6.77,True,True,True,True,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,,,60,,,,,,
,Total Classic Pokemon: ,38,60,,,,,,
