Pokemon Name,Number,Card Type,# in Machine,Estimated Value,Is Chase Card?,Is top 10 chase card?,Is classic Pokemon?,Is Full Art?
Pikachu ex ,247,Gold,1,$66.49,True,True,True,True
Togekiss,72,Holo,60,$0.29,False,False,False,False
Tapu Koko,65,Holo,60,$0.27,False,False,False,False
Zarude,11,Holo,60,$0.25,False,False,False,False
Chien-pao,56,Holo,60,$0.23,False,False,False,False
Dialga,135,Holo,60,$0.22,False,False,False,False
Gastrodon,107,Holo,60,$0.22,False,False,False,False
Landorus,110,Holo,60,$0.22,False,False,False,False
Tapu Lele,92,Holo,60,$0.22,False,False,False,False
Rabsca,14,Holo,60,$0.21,False,False,False,False
Palkia,136,Holo,60,$0.19,False,False,False,False
Alolan Dugtrio,123,Reverse Holo ,20,$5.06,False,False,True,False
Snorlax,144,Reverse Holo ,60,$0.37,False,False,True,False
Eevee,143,Reverse Holo ,60,$0.30,False,False,True,False
Ninetales,17,Reverse Holo ,60,$0.29,False,False,True,False
Meowstic,85,Reverse Holo ,60,$0.28,False,False,False,False
Uxie,78,Reverse Holo ,60,$0.28,False,False,False,False
Skeledirge,31,Reverse Holo ,60,$0.26,False,False,False,False
Xerneas,88,Reverse Holo ,60,$0.26,False,False,False,False
Zarude,11,Reverse Holo ,60,$0.25,False,False,False,False
Walrein,45,Reverse Holo ,60,$0.24,False,False,False,False
Cofagrigus,83,Reverse Holo ,60,$0.23,False,False,False,False
Eternatus,141,Reverse Holo ,60,$0.23,False,False,False,False
Mantine,40,Reverse Holo ,60,$0.23,False,False,False,False
Gastrodon,107,Reverse Holo ,60,$0.22,False,False,False,False
Tapu Lele,92,Reverse Holo ,60,$0.22,False,False,False,False
Tandemaus,157,Reverse Holo ,60,$0.20,False,False,False,False
Togetic,71,Reverse Holo ,60,$0.20,False,False,False,False
Palkia,136,Reverse Holo ,60,$0.19,False,False,False,False
Vigoroth,146,Reverse Holo ,60,$0.19,False,False,False,False
Charcadet,33,Reverse Holo ,60,$0.18,False,False,False,False
Dedenne,87,Reverse Holo ,60,$0.18,False,False,False,False
Espurr,84,Reverse Holo ,60,$0.17,False,False,False,False
Flapple,139,Reverse Holo ,60,$0.17,False,False,False,False
Sealeo,44,Reverse Holo ,60,$0.17,False,False,False,False
Centiskorch,28,Reverse Holo ,60,$0.16,False,False,False,False
Spheal,43,Reverse Holo ,60,$0.15,False,False,False,False
Vulpix,16,Reverse Holo ,60,$0.15,False,False,True,False
Fuecoco,29,Reverse Holo ,60,$0.14,False,False,False,False
Oricorio,26,Reverse Holo ,60,$0.14,False,False,False,False
Rotom,61,Reverse Holo ,60,$0.14,False,False,False,False
Sizzlipede,27,Reverse Holo ,60,$0.14,False,False,False,False
Marill,73,Reverse Holo ,60,$0.13,False,False,False,False
Grapploct,113,Reverse Holo ,60,$0.12,False,False,False,False
Phanpy,102,Reverse Holo ,60,$0.12,False,False,False,False
Quaxly,50,Reverse Holo ,60,$0.12,False,False,False,False
Rufflet,152,Reverse Holo ,60,$0.12,False,False,False,False
Shellos,46,Reverse Holo ,60,$0.12,False,False,False,False
Magnemite,58,Reverse Holo ,60,$0.12,False,False,True,False
Pansear,22,Reverse Holo ,60,$0.11,False,False,False,False
Zebstrika,63,Reverse Holo ,60,$0.10,False,False,False,False
Primeape,99,Reverse Holo ,60,$0.10,False,False,True,False
Stunfisk,64,Reverse Holo ,60,$0.09,False,False,False,False
Mankey,98,Reverse Holo ,60,$0.09,False,False,True,False
Latios,203,Secret Art,10,$23.73,True,False,False,True
Drayton,232,Secret Art,40,$1.31,False,False,False,True
